CV_ID,Experience,Language Level - French,Match_ID,Status,4. CV sent to Client,4. Client initial validation date,7. Client final approval date,MatchStatus,response_time,decision_time,Gender
1889,[8+],A2,10379,CV refused,2017-02-09,2017-02-13,,0,4 days 00:00:00.000000000,,M
1901,[2-4],A1,10368,A05 - Onboarding,2017-02-07,2017-02-08,2017-02-16,1,1 days 00:00:00.000000000,8 days 00:00:00.000000000,M
1909,[2-4],C1,10369,A03 - Process Cancelled,2017-02-08,2017-02-08,2017-02-21,1,0 days 00:00:00.000000000,13 days 00:00:00.000000000,M
1913,[5-8],C1,10377,Candidate dropped out,2017-02-01,2017-02-01,2018-04-06,0,0 days 00:00:00.000000000,429 days 00:00:00.000000000,F
1913,[5-8],C1,10862,A05 - Onboarding,2017-05-03,2017-05-03,2017-05-23,1,0 days 00:00:00.000000000,20 days 00:00:00.000000000,F
1931,[8+],A1,10401,CV refused,2017-02-15,2017-02-15,,0,0 days 00:00:00.000000000,,F
1931,[8+],A1,10440,CV refused,2017-02-22,2017-03-07,,0,13 days 00:00:00.000000000,,F
1931,[8+],A1,11197,A03 - Offer declined,2017-08-15,2017-08-17,2017-08-29,1,2 days 00:00:00.000000000,12 days 00:00:00.000000000,F
1943,[8+],A1,10435,Approved,,,,0,,,M
1943,[8+],A1,12392,A05 - Onboarding,2017-03-14,2017-03-14,2017-03-14,1,0 days 00:00:00.000000000,0 days 00:00:00.000000000,M
1945,[8+],B2,10514,D01 – Resignation,2017-03-09,2017-03-15,2017-04-06,1,6 days 00:00:00.000000000,22 days 00:00:00.000000000,F
1948,[2-4],A1,10444,A05 - Onboarding,2017-02-23,2017-03-01,2017-03-20,1,6 days 00:00:00.000000000,19 days 00:00:00.000000000,M
1984,[8+],A1,10434,Candidate refused,2017-03-02,2017-03-02,2017-03-02,0,0 days 00:00:00.000000000,0 days 00:00:00.000000000,M
1984,[8+],A1,10957,CV refused,2017-06-13,2017-06-19,,0,6 days 00:00:00.000000000,,M
1984,[8+],A1,11153,A05 - Onboarding,2017-06-13,2017-07-21,2017-07-24,1,38 days 00:00:00.000000000,3 days 00:00:00.000000000,M
1988,[8+],A2,10433,A03 - Offer declined,2017-02-21,2017-02-21,2017-03-02,1,0 days 00:00:00.000000000,9 days 00:00:00.000000000,M
1989,[2-4],A2,10429,A05 - Onboarding,2017-02-21,2017-02-21,2017-03-06,1,0 days 00:00:00.000000000,13 days 00:00:00.000000000,F
1994,[2-4],C2,10521,A05 - Onboarding,2017-03-09,2017-03-10,2017-03-17,1,1 days 00:00:00.000000000,7 days 00:00:00.000000000,F
2005,[8+],B2,10421,Dropped out,2017-02-21,2018-04-06,,0,409 days 00:00:00.000000000,,F
2005,[8+],B2,10442,A03 - Offer declined,2017-02-23,2017-02-23,2017-03-07,1,0 days 00:00:00.000000000,12 days 00:00:00.000000000,F
2005,[8+],B2,11059,CV refused,2017-07-11,2017-07-11,2018-03-27,0,0 days 00:00:00.000000000,259 days 00:00:00.000000000,F
2005,[8+],B2,11520,CV refused,2018-04-06,2018-04-06,,0,0 days 00:00:00.000000000,,F
2005,[8+],B2,12794,A03 - Offer declined,2018-03-29,2018-03-29,2018-03-29,1,0 days 00:00:00.000000000,0 days 00:00:00.000000000,F
2030,[2-4],B1,10688,A03 - Offer declined,2017-04-18,2017-04-18,2017-05-15,1,0 days 00:00:00.000000000,27 days 00:00:00.000000000,M
2040,[5-8],A1,10471,CV refused,2017-02-28,2017-02-28,,0,0 days 00:00:00.000000000,,F
2040,[5-8],A1,10474,Candidate refused,2017-02-28,2017-03-01,2017-03-02,0,1 days 00:00:00.000000000,1 days 00:00:00.000000000,F
2040,[5-8],A1,10615,A05 - Onboarding,2017-02-28,2017-03-01,2017-03-17,1,1 days 00:00:00.000000000,16 days 00:00:00.000000000,F
2045,[8+],A2,10484,A05 - Onboarding,2017-03-03,2017-03-03,2017-03-10,1,0 days 00:00:00.000000000,7 days 00:00:00.000000000,M
2046,[8+],A1,10486,A05 - Onboarding,2017-03-02,2017-03-02,2017-03-08,1,0 days 00:00:00.000000000,6 days 00:00:00.000000000,M
2047,[8+],A1,10478,A05 - Onboarding,2017-03-02,2017-03-02,2017-03-08,1,0 days 00:00:00.000000000,6 days 00:00:00.000000000,F
2064,[0-1],B2,12401,A05 - Onboarding,2017-03-14,2017-03-14,2017-03-14,1,0 days 00:00:00.000000000,0 days 00:00:00.000000000,M
2070,[0-1],A2,10494,A03 - Offer declined,2017-03-05,2017-03-05,2017-03-23,1,0 days 00:00:00.000000000,18 days 00:00:00.000000000,M
2070,[0-1],A2,11670,CV dropped out,2018-03-29,2018-03-30,2018-03-30,0,1 days 00:00:00.000000000,0 days 00:00:00.000000000,M
2070,[0-1],A2,11705,Candidate dropped out,2018-01-23,2018-02-23,2018-04-03,0,31 days 00:00:00.000000000,39 days 00:00:00.000000000,M
2085,[2-4],C1,12387,A05 - Onboarding,2017-03-15,2017-03-15,2017-03-15,1,0 days 00:00:00.000000000,0 days 00:00:00.000000000,M
2091,[8+],A2,10516,Candidate dropped out,2017-03-07,2017-03-07,2018-04-03,0,0 days 00:00:00.000000000,392 days 00:00:00.000000000,M
2091,[8+],A2,10518,A05 - Onboarding,2017-03-09,2017-03-09,2017-03-09,1,0 days 00:00:00.000000000,0 days 00:00:00.000000000,M
2092,[5-8],C2,10523,A03 - Offer declined,2017-03-06,2017-03-06,2017-02-27,1,0 days 00:00:00.000000000,-7 days +00:00:00.000000000,F
2093,[8+],C2,10545,A05 - Onboarding,2017-03-14,2017-03-15,2017-03-23,1,1 days 00:00:00.000000000,8 days 00:00:00.000000000,M
2094,[5-8],B1,10546,A05 - Onboarding,2017-03-13,2017-03-13,2017-04-20,1,0 days 00:00:00.000000000,38 days 00:00:00.000000000,M
2095,[8+],C2,10525,A03 - Offer declined,2017-03-10,2017-03-10,2017-03-17,1,0 days 00:00:00.000000000,7 days 00:00:00.000000000,F
2097,[0-1],A2,10536,A03 - Offer declined,2017-03-27,2017-03-27,2017-04-05,1,0 days 00:00:00.000000000,9 days 00:00:00.000000000,F
2097,[0-1],A2,10559,CV refused,2017-03-14,2017-03-16,,0,2 days 00:00:00.000000000,,F
2099,[8+],B1,10534,Candidate refused,2017-03-14,2017-03-21,2017-03-27,0,7 days 00:00:00.000000000,6 days 00:00:00.000000000,M
2099,[8+],B1,10560,Candidate refused,2017-03-14,2017-03-30,2017-03-31,0,16 days 00:00:00.000000000,1 days 00:00:00.000000000,M
2099,[8+],B1,10586,CV refused,2017-03-21,2017-03-22,,0,1 days 00:00:00.000000000,,M
2099,[8+],B1,10715,T01- Terminated,2017-04-19,2017-04-19,2017-04-20,1,0 days 00:00:00.000000000,1 days 00:00:00.000000000,M
2105,[0-1],A1,10528,Rejected,,,2018-03-30,0,,,F
2105,[0-1],A1,10539,A03 - Offer declined,2017-03-14,2017-03-15,2017-03-23,1,1 days 00:00:00.000000000,8 days 00:00:00.000000000,F
2105,[0-1],A1,10594,Rejected,,,,0,,,F
2108,[8+],B1,10542,CV refused,2017-03-15,2017-03-15,,0,0 days 00:00:00.000000000,,F
2108,[8+],B1,10787,CV refused,2017-05-09,2017-05-09,,0,0 days 00:00:00.000000000,,F
2108,[8+],B1,10972,Candidate dropped out,2017-06-23,2017-06-23,2018-04-03,0,0 days 00:00:00.000000000,284 days 00:00:00.000000000,F
2108,[8+],B1,10977,Dropped out,2017-06-19,2018-04-03,,0,288 days 00:00:00.000000000,,F
2108,[8+],B1,10989,CV refused,2017-07-06,2017-07-06,,0,0 days 00:00:00.000000000,,F
2108,[8+],B1,11003,A05 - Onboarding,2017-06-27,2017-06-27,2017-06-27,1,0 days 00:00:00.000000000,0 days 00:00:00.000000000,F
2115,[8+],B2,10549,A05 - Onboarding,2017-03-14,2017-03-17,2017-03-30,1,3 days 00:00:00.000000000,13 days 00:00:00.000000000,F
2117,[8+],A1,10548,A05 - Onboarding,2017-03-14,2017-03-17,2017-03-30,1,3 days 00:00:00.000000000,13 days 00:00:00.000000000,M
2247,[0-1],A1,12404,A05 - Onboarding,2017-03-14,2017-03-14,2017-03-14,1,0 days 00:00:00.000000000,0 days 00:00:00.000000000,M
2282,[8+],A2,10627,CV refused,2017-03-28,2017-03-28,,0,0 days 00:00:00.000000000,,F
2282,[8+],A2,10682,Candidate refused,2017-04-11,2017-04-11,2017-04-13,0,0 days 00:00:00.000000000,2 days 00:00:00.000000000,F
2282,[8+],A2,10755,A05 - Onboarding,2017-05-05,2017-05-05,2017-05-19,1,0 days 00:00:00.000000000,14 days 00:00:00.000000000,F
